experiment_id,problem_id,condition,kernel_pass,inappropriate_assumption,leakage_risk,reviewer_note
pilot-20260826T122354Z-d628742d,bool_cases_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,bool_cases_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,bool_cases_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,identity_application_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,identity_application_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,identity_application_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,and_assoc_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,and_assoc_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,and_assoc_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,or_assoc_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,or_assoc_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,or_assoc_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,not_not_intro_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,not_not_intro_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,not_not_intro_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_succ_add_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_succ_add_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_succ_add_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_add_comm_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_add_comm_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_add_comm_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_mul_zero_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_mul_zero_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_mul_zero_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_lt_succ_self_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_lt_succ_self_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,nat_lt_succ_self_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,implies_self_eval,A,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,implies_self_eval,B,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
pilot-20260826T122354Z-d628742d,implies_self_eval,C,yes,no,no,PASS；独立 Lean 编译通过，未发现不恰当假设或示例泄漏
